timestamp,target_threshold,count,avg_duration_s,min_duration_s,max_duration_s,avg_expiry_s,avg_start_price,avg_end_price
2026-01-07T22:31:41.002Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:31:41.002Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:31:41.002Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:32:41.003Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:32:41.003Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:32:41.003Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:33:41.004Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:33:41.004Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:33:41.004Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:34:41.015Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:34:41.015Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:34:41.015Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:35:41.005Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:35:41.005Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:35:41.005Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:36:41.005Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:36:41.005Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:36:41.005Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:37:41.005Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:37:41.005Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:37:41.005Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:38:41.006Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:38:41.006Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:38:41.006Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
