timestamp,row_type,symbol,timeframe,samples,hits_le_0.9,hits_le_0.95,hits_le_0.98,hits_le_0.985,hits_le_0.99,hits_le_0.995,avg_yes_le_0.9,avg_no_le_0.9,avg_yes_le_0.95,avg_no_le_0.95,avg_yes_le_0.98,avg_no_le_0.98,avg_yes_le_0.985,avg_no_le_0.985,avg_yes_le_0.99,avg_no_le_0.99,avg_yes_le_0.995,avg_no_le_0.995
2026-01-04T16:15:51.313Z,symbol,xrp,15m,1783,0,3,8,8,34,34,,,0.4496,0.4956,0.4166,0.5430,0.4166,0.5430,0.3121,0.6688,0.3121,0.6688
2026-01-04T16:15:51.313Z,symbol,sol,15m,2463,0,0,14,15,33,33,,,,,0.6328,0.3460,0.6537,0.3253,0.6987,0.2870,0.6987,0.2870
2026-01-04T16:16:51.314Z,all,,,32755,0,7,95,96,285,290,,,0.4871,0.4571,0.5165,0.4567,0.5208,0.4525,0.5428,0.4416,0.5505,0.4340
2026-01-04T16:16:51.314Z,symbol,btc,15m,19788,0,1,35,35,122,125,,,0.3500,0.5900,0.4785,0.4972,0.4785,0.4972,0.5645,0.4220,0.5656,0.4208
2026-01-04T16:16:51.314Z,symbol,eth,15m,8654,0,2,36,36,93,95,,,0.5289,0.4167,0.5829,0.3893,0.5829,0.3893,0.5697,0.4130,0.5712,0.4114
2026-01-04T16:16:51.314Z,symbol,xrp,15m,1801,0,4,9,9,36,36,,,0.4496,0.4954,0.4176,0.5420,0.4176,0.5420,0.3142,0.6665,0.3142,0.6665
2026-01-04T16:16:51.314Z,symbol,sol,15m,2512,0,0,15,16,34,34,,,,,0.6326,0.3459,0.6531,0.3255,0.6982,0.2874,0.6982,0.2874
2026-01-04T16:17:51.316Z,all,,,33637,0,7,96,97,286,291,,,0.4871,0.4571,0.5175,0.4557,0.5218,0.4515,0.5430,0.4413,0.5507,0.4338
2026-01-04T16:17:51.316Z,symbol,btc,15m,20429,0,1,35,35,122,125,,,0.3500,0.5900,0.4758,0.4997,0.4758,0.4997,0.5627,0.4236,0.5638,0.4225
2026-01-04T16:17:51.316Z,symbol,eth,15m,8811,0,2,37,37,94,96,,,0.5289,0.4167,0.5832,0.3890,0.5832,0.3890,0.5698,0.4129,0.5713,0.4113
2026-01-04T16:17:51.316Z,symbol,xrp,15m,1839,0,4,9,9,36,36,,,0.4497,0.4952,0.4186,0.5411,0.4186,0.5411,0.3162,0.6643,0.3162,0.6643
2026-01-04T16:17:51.316Z,symbol,sol,15m,2558,0,0,15,16,34,34,,,,,0.6324,0.3458,0.6525,0.3258,0.6977,0.2877,0.6977,0.2877
2026-01-04T16:18:51.316Z,all,,,35207,0,7,100,101,295,300,,,0.4871,0.4571,0.5181,0.4552,0.5222,0.4512,0.5413,0.4430,0.5488,0.4356
2026-01-04T16:18:51.316Z,symbol,btc,15m,21485,0,1,38,38,126,129,,,0.3500,0.5900,0.4742,0.5011,0.4742,0.5011,0.5608,0.4254,0.5619,0.4242
2026-01-04T16:18:51.316Z,symbol,eth,15m,9161,0,2,37,37,98,100,,,0.5289,0.4167,0.5835,0.3887,0.5835,0.3887,0.5691,0.4136,0.5706,0.4121
2026-01-04T16:18:51.316Z,symbol,xrp,15m,1905,0,4,10,10,37,37,,,0.4497,0.4950,0.4198,0.5402,0.4198,0.5402,0.3188,0.6616,0.3188,0.6616
2026-01-04T16:18:51.316Z,symbol,sol,15m,2656,0,0,15,16,34,34,,,,,0.6321,0.3457,0.6520,0.3260,0.6972,0.2881,0.6972,0.2881
2026-01-04T16:19:51.319Z,all,,,36505,0,7,105,106,302,307,,,0.4871,0.4571,0.5141,0.4593,0.5180,0.4555,0.5390,0.4452,0.5463,0.4380
2026-01-04T16:19:51.319Z,symbol,btc,15m,22429,0,1,42,42,132,135,,,0.3500,0.5900,0.4725,0.5026,0.4725,0.5026,0.5585,0.4275,0.5596,0.4264
